QUERY	KO	BRITE	CAZY	COG	DISEASE	DRUG	ENZYME	GO	MODULE	NETWORK	PATHWAY	PUBMED	RCLASS	REACTION	TC	VP	DESCRIPTION
Unknown_BF302-01R0002_00616	K03147	br:ko00001;br:ko01000	NA	cog:COG0422	NA	NA	ec:4.1.99.17	NA	md:M00127;md:M00895;md:M00896;md:M00897	NA	path:ko00730;path:ko01100;path:ko01240;path:map00730;path:map01100;path:map01240	pmid:15326535	rc:RC03251;rc:RC03252	rn:R03472	NA	NA	thiC; phosphomethylpyrimidine synthase
Unknown_BF302-01R0002_00619	K00606	br:ko00001;br:ko01000	NA	cog:COG0413	NA	NA	ec:2.1.2.11	go:0003864	md:M00119;md:M00913;md:M00914	NA	path:ko00770;path:ko01100;path:ko01110;path:ko01240;path:map00770;path:map01100;path:map01110;path:map01240	pmid:8096212	rc:RC00022;rc:RC00200	rn:R01226	NA	NA	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase
Unknown_BF302-01R0002_00620	K01918	br:ko00001;br:ko01000	NA	cog:COG0414	NA	NA	ec:6.3.2.1	go:0004592	md:M00119;md:M00913	NA	path:ko00410;path:ko00770;path:ko01100;path:ko01110;path:ko01240;path:map00410;path:map00770;path:map01100;path:map01110;path:map01240	pmid:10223988	rc:RC00096;rc:RC00141	rn:R02473	NA	NA	panC; pantoate--beta-alanine ligase
Unknown_BF302-01R0002_00621	K01579	br:ko00001;br:ko01000	NA	cog:COG0853	NA	NA	ec:4.1.1.11	go:0004068	md:M00119	NA	path:ko00410;path:ko00770;path:ko01100;path:ko01110;path:ko01240;path:map00410;path:map00770;path:map01100;path:map01110;path:map01240	pmid:12182836	rc:RC00299	rn:R00489	NA	NA	panD; aspartate 1-decarboxylase
Unknown_BF302-01R0002_00622	K19265	br:ko00001;br:ko01000	NA	cog:COG0667	NA	NA	NA	NA	NA	NA	NA	pmid:18620424	NA	NA	NA	NA	gpr; L-glyceraldehyde 3-phosphate reductase
Unknown_BF302-01R0002_00623	K01591	br:ko00001;br:ko01000	NA	cog:COG0284	NA	NA	ec:4.1.1.23	go:0004590	md:M00051	NA	path:ko00240;path:ko01100;path:ko01240;path:map00240;path:map01100;path:map01240	pmid:2574635;pmid:2956254	rc:RC00409	rn:R00965	NA	NA	pyrF; orotidine-5'-phosphate decarboxylase
Unknown_BF302-01R0002_00624	K02823	br:ko00001	NA	cog:COG0543	NA	NA	NA	NA	NA	NA	path:ko00240;path:ko01100;path:ko01240;path:map00240;path:map01100;path:map01240	pmid:8759868	rc:RC00051	rn:R01869	NA	NA	pyrDII; dihydroorotate dehydrogenase electron transfer subunit
Unknown_BF302-01R0002_00625	K17828	br:ko00001;br:ko01000	NA	NA	NA	NA	ec:1.3.1.14	go:0004589	md:M00051	NA	path:ko00240;path:ko01100;path:ko01240;path:map00240;path:map01100;path:map01240	pmid:10529184;pmid:10545205;pmid:8910599	rc:RC00051	rn:R01869	NA	NA	pyrDI; dihydroorotate dehydrogenase (NAD+) catalytic subunit
Unknown_BF302-01R0002_00626	K18218	br:ko00001;br:ko01504;br:ko02000	NA	cog:COG1757	NA	NA	NA	NA	NA	NA	NA	pmid:11897587	NA	NA	NA	NA	tet35; tetracycline resistance efflux pump
Unknown_BF302-01R0002_00627	K01738	br:ko00001;br:ko01000	NA	cog:COG0031	NA	NA	ec:2.5.1.47	go:0004124	md:M00021	NA	path:ko00270;path:ko00920;path:ko01100;path:ko01110;path:ko01120;path:ko01200;path:ko01230;path:map00270;path:map00920;path:map01100;path:map01110;path:map01120;path:map01200;path:map01230	pmid:10613873;pmid:3062311	rc:RC00020;rc:RC02814;rc:RC02821;rc:RC02948	rn:R00897;rn:R03601;rn:R04859;rn:R07274	NA	NA	cysK; cysteine synthase
Unknown_BF302-01R0002_00628	K23163	br:ko00001;br:ko02000	NA	NA	NA	NA	NA	NA	md:M00616	NA	path:ko00920;path:ko02010;path:map00920;path:map02010	NA	NA	NA	NA	NA	sbp; sulfate/thiosulfate transport system substrate-binding protein
Unknown_BF302-01R0002_00629	K02046	br:ko00001;br:ko02000	NA	cog:COG0555	NA	NA	NA	NA	md:M00616	NA	path:ko00920;path:ko02010;path:map00920;path:map02010	pmid:1909324;pmid:2188958;pmid:2538823	NA	NA	tc:3.A.1.6.1;tc:3.A.1.6.3;tc:3.A.1.6.7	NA	cysU; sulfate/thiosulfate transport system permease protein
Unknown_BF302-01R0002_00630	K02047	br:ko00001;br:ko02000	NA	cog:COG4208	NA	NA	NA	NA	md:M00616	NA	path:ko00920;path:ko02010;path:map00920;path:map02010	pmid:1909324;pmid:2188958;pmid:2538823	NA	NA	tc:3.A.1.6.1;tc:3.A.1.6.3;tc:3.A.1.6.7	NA	cysW; sulfate/thiosulfate transport system permease protein
Unknown_BF302-01R0002_00631	K02045	br:ko00001;br:ko01000;br:ko02000	NA	cog:COG1118	NA	NA	ec:7.3.2.3	go:0015419;go:0102025	md:M00616	NA	path:ko00920;path:ko02010;path:map00920;path:map02010	pmid:1909324;pmid:2188958;pmid:2538823	NA	NA	tc:3.A.1.6.1;tc:3.A.1.6.3;tc:3.A.1.6.7	NA	cysA; sulfate/thiosulfate transport system ATP-binding protein
Unknown_BF302-01R0002_00632	K00394	br:ko00001;br:ko01000	NA	NA	NA	NA	ec:1.8.99.2	go:0009973	md:M00596	NA	path:ko00920;path:ko01100;path:ko01120;path:map00920;path:map01100;path:map01120	NA	rc:RC00007;rc:RC01239;rc:RC02862	rn:R00860;rn:R04927;rn:R08553	NA	NA	aprA; adenylylsulfate reductase, subunit A
Unknown_BF302-01R0002_00633	K00395	br:ko00001;br:ko01000	NA	NA	NA	NA	ec:1.8.99.2	go:0009973	md:M00596	NA	path:ko00920;path:ko01100;path:ko01120;path:map00920;path:map01100;path:map01120	NA	rc:RC00007;rc:RC01239;rc:RC02862	rn:R00860;rn:R04927;rn:R08553	NA	NA	aprB; adenylylsulfate reductase, subunit B
Unknown_BF302-01R0002_00634	K00957	br:ko00001;br:ko01000	NA	cog:COG0175	NA	NA	ec:2.7.7.4	go:0004781	md:M00176	NA	path:ko00230;path:ko00261;path:ko00450;path:ko00920;path:ko01100;path:ko01110;path:ko01120;path:map00230;path:map00261;path:map00450;path:map00920;path:map01100;path:map01110;path:map01120	pmid:1316900	rc:RC02809;rc:RC02889	rn:R00529;rn:R04929	NA	NA	cysD; sulfate adenylyltransferase subunit 2
Unknown_BF302-01R0002_00635	K00956	br:ko00001;br:ko01000	NA	cog:COG2895	NA	NA	ec:2.7.7.4	go:0004781	md:M00176	NA	path:ko00230;path:ko00261;path:ko00450;path:ko00920;path:ko01100;path:ko01110;path:ko01120;path:map00230;path:map00261;path:map00450;path:map00920;path:map01100;path:map01110;path:map01120	pmid:1316900	rc:RC02809;rc:RC02889	rn:R00529;rn:R04929	NA	NA	cysN; sulfate adenylyltransferase subunit 1
Unknown_BF302-01R0002_00636	K18640	br:ko00001;br:ko04812	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid:12486014;pmid:3172224	NA	NA	NA	NA	parM, stbA; plasmid segregation protein ParM
Unknown_BF302-01R0002_00650	K00762	br:ko00001;br:ko01000	NA	cog:COG0461	NA	NA	ec:2.4.2.10	go:0004588	md:M00051	NA	path:ko00240;path:ko01100;path:ko01240;path:map00240;path:map01100;path:map01240	pmid:2182197;pmid:6349999	rc:RC00611	rn:R01870	NA	NA	pyrE; orotate phosphoribosyltransferase
Unknown_BF302-01R0002_00652	K19689	br:ko00001;br:ko01000;br:ko01002	NA	cog:COG2309	NA	NA	NA	NA	NA	NA	NA	pmid:10406960;pmid:15932875;pmid:16242715	NA	NA	NA	NA	ampS, pepS, ampT; aminopeptidase
Unknown_BF302-01R0002_00653	K01588	br:ko00001;br:ko01000	NA	cog:COG0041	NA	NA	ec:5.4.99.18	go:0034023	md:M00048	NA	path:ko00230;path:ko01100;path:ko01110;path:map00230;path:map01100;path:map01110	pmid:2464576;pmid:9500840	rc:RC01947	rn:R07405	NA	NA	purE; 5-(carboxyamino)imidazole ribonucleotide mutase
Unknown_BF302-01R0002_00656	K00616	br:ko00001;br:ko01000	NA	cog:COG0176	ds:H01189	NA	ec:2.2.1.2	go:0004801	md:M00004;md:M00007	NA	path:ko00030;path:ko01100;path:ko01110;path:ko01120;path:ko01200;path:ko01230;path:map00030;path:map01100;path:map01110;path:map01120;path:map01200;path:map01230	pmid:8300619	rc:RC00439;rc:RC00604	rn:R01827	NA	NA	E2.2.1.2, talA, talB; transaldolase
Unknown_BF302-01R0002_00657	K00615	br:ko00001;br:ko01000	NA	cog:COG0021	ds:H02439	NA	ec:2.2.1.1	go:0004802	md:M00004;md:M00007;md:M00165;md:M00167	NA	path:ko00030;path:ko00710;path:ko01051;path:ko01100;path:ko01110;path:ko01120;path:ko01200;path:ko01230;path:map00030;path:map00710;path:map01051;path:map01100;path:map01110;path:map01120;path:map01200;path:map01230	pmid:8419340	rc:RC00032;rc:RC00226;rc:RC00571;rc:RC01560	rn:R01067;rn:R01641;rn:R01830;rn:R06590	NA	NA	E2.2.1.1, tktA, tktB; transketolase
Unknown_BF302-01R0002_00658	K00615	br:ko00001;br:ko01000	NA	cog:COG0021	ds:H02439	NA	ec:2.2.1.1	go:0004802	md:M00004;md:M00007;md:M00165;md:M00167	NA	path:ko00030;path:ko00710;path:ko01051;path:ko01100;path:ko01110;path:ko01120;path:ko01200;path:ko01230;path:map00030;path:map00710;path:map01051;path:map01100;path:map01110;path:map01120;path:map01200;path:map01230	pmid:8419340	rc:RC00032;rc:RC00226;rc:RC00571;rc:RC01560	rn:R01067;rn:R01641;rn:R01830;rn:R06590	NA	NA	E2.2.1.1, tktA, tktB; transketolase
Unknown_BF302-01R0002_00661	K01209	br:ko00001;br:ko01000	cazy:GH51	cog:COG3534	NA	NA	ec:3.2.1.55	go:0046556	NA	NA	path:ko00520;path:ko01100;path:map00520;path:map01100	pmid:18757805;pmid:9084180	NA	rn:R01762	NA	NA	abfA; alpha-L-arabinofuranosidase
Unknown_BF302-01R0002_00662	K09955	br:ko00001	NA	cog:COG3533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K09955; uncharacterized protein
Unknown_BF302-01R0002_00666	K01209	br:ko00001;br:ko01000	cazy:GH51	cog:COG3534	NA	NA	ec:3.2.1.55	go:0046556	NA	NA	path:ko00520;path:ko01100;path:map00520;path:map01100	pmid:18757805;pmid:9084180	NA	rn:R01762	NA	NA	abfA; alpha-L-arabinofuranosidase
Unknown_BF302-01R0002_00671	K01804	br:ko00001;br:ko01000	NA	cog:COG2160	NA	NA	ec:5.3.1.4	go:0008733	NA	NA	path:ko00040;path:ko01100;path:map00040;path:map01100	pmid:3549454	rc:RC00516	rn:R01761	NA	NA	araA; L-arabinose isomerase
Unknown_BF302-01R0002_00672	K12308	br:ko00001;br:ko01000	cazy:GH42	cog:COG1874	NA	NA	ec:3.2.1.23	go:0004565	NA	NA	path:ko00052;path:map00052	pmid:15480628	rc:RC00452	rn:R01105	NA	NA	bgaB, lacA; beta-galactosidase
Unknown_BF302-01R0002_00674	K07076	br:ko00001	NA	cog:COG1708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K07076; uncharacterized protein
Unknown_BF302-01R0002_00676	K02477	br:ko00001;br:ko02022	NA	cog:COG3279	NA	NA	NA	go:0000156	NA	NA	NA	NA	NA	NA	NA	NA	K02477; two-component system, LytTR family, response regulator
Unknown_BF302-01R0002_00680	K01990	br:ko00001;br:ko02000	NA	cog:COG1131;cog:COG1134	NA	NA	NA	NA	NA	NA	NA	pmid:10092453;pmid:10809709;pmid:10978546;pmid:11421281	NA	NA	tc:3.A.1	NA	ABC-2.A; ABC-2 type transport system ATP-binding protein
Unknown_BF302-01R0002_00681	K07443	br:ko00001	NA	cog:COG3695	NA	NA	NA	NA	NA	NA	NA	pmid:16679453;pmid:18084297;pmid:20921378	NA	NA	NA	NA	ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein
Unknown_BF302-01R0002_00686	K21021	br:ko00001;br:ko01000	NA	cog:COG2199	NA	NA	ec:2.7.7.65	go:0052621	NA	NA	path:ko02025;path:map02025	pmid:16477007;pmid:19543378	NA	NA	NA	NA	tpbB; diguanylate cyclase
Unknown_BF302-01R0002_00687	K00096	br:ko00001;br:ko01000	NA	cog:COG0371	NA	NA	ec:1.1.1.261	go:0050492	NA	NA	path:ko00564;path:ko01110;path:map00564;path:map01110	pmid:18558723;pmid:9419225	rc:RC00029	rn:R05679;rn:R05680	NA	NA	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+]
Unknown_BF302-01R0002_00688	K22900	br:ko00001;br:ko01000;br:ko03016	NA	cog:COG1720	NA	NA	NA	go:0016430	NA	NA	NA	pmid:25063302	NA	NA	NA	NA	TRMO, trmO; tRNA (adenine37-N6)-methyltransferase
Unknown_BF302-01R0002_00689	K00759	br:ko00001;br:ko01000;br:ko04147	NA	cog:COG0503	ds:H00195	NA	ec:2.4.2.7	go:0003999	NA	NA	path:ko00230;path:ko01100;path:ko01232;path:map00230;path:map01100;path:map01232	pmid:9864350	rc:RC00063	rn:R00190;rn:R04378	NA	NA	APRT, apt; adenine phosphoribosyltransferase
Unknown_BF302-01R0002_00690	K06406	br:ko00001	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid:22328679	NA	NA	NA	NA	spoVAD; stage V sporulation protein AD
Unknown_BF302-01R0002_00691	K06407	br:ko00001	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid:17573930	NA	NA	NA	NA	spoVAE; stage V sporulation protein AE
Unknown_BF302-01R0002_00695	K00688	br:ko00001;br:ko01000	cazy:GT35	cog:COG0058	ds:H00069;ds:H01760;ds:H01762;ds:H01943;ds:H01944	dr:D04537	ec:2.4.1.1	go:0008184	md:M00855	NA	path:ko00500;path:ko01100;path:ko01110;path:ko02026;path:ko04217;path:ko04910;path:ko04922;path:ko04931;path:map00500;path:map01100;path:map01110;path:map02026;path:map04217;path:map04910;path:map04922;path:map04931	pmid:2877458	NA	rn:R02111	NA	NA	PYG, glgP; glycogen phosphorylase
Unknown_BF302-01R0002_00697	K03665	br:ko00001;br:ko03009	NA	cog:COG2262	NA	NA	NA	NA	NA	NA	NA	pmid:19109926	NA	NA	NA	NA	hflX; GTPase
Unknown_BF302-01R0002_00700	K14731	br:ko00001;br:ko01000	NA	cog:COG0657	NA	NA	ec:3.1.1.83	NA	NA	NA	path:ko00903;path:ko00930;path:ko01110;path:ko01220;path:map00903;path:map00930;path:map01110;path:map01220	pmid:10543838;pmid:11157238	rc:RC00713;rc:RC00983;rc:RC01505	rn:R03751;rn:R06390;rn:R06391;rn:R06392;rn:R06393	NA	NA	mlhB, chnC; epsilon-lactone hydrolase
Unknown_BF302-01R0002_00701	K07076	br:ko00001	NA	cog:COG1708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K07076; uncharacterized protein
Unknown_BF302-01R0002_00704	K08281	br:ko00001;br:ko01000	NA	cog:COG1335	NA	NA	ec:3.5.1.19	go:0008936	NA	NA	path:ko00760;path:ko01100;path:ko01240;path:map00760;path:map01100;path:map01240	pmid:8726014	rc:RC00100	rn:R01268	NA	NA	pncA; nicotinamidase/pyrazinamidase
Unknown_BF302-01R0002_00705	K18888	br:ko00001;br:ko02000	NA	cog:COG1132	NA	NA	NA	NA	NA	NA	path:ko02010;path:map02010	pmid:14638474	NA	NA	tc:3.A.1.135	NA	efrB, efrF; ATP-binding cassette, subfamily B, multidrug efflux pump
Unknown_BF302-01R0002_00706	K18887	br:ko00001;br:ko02000	NA	cog:COG1132	NA	NA	NA	NA	NA	NA	path:ko02010;path:map02010	pmid:14638474	NA	NA	tc:3.A.1.135	NA	efrA, efrE; ATP-binding cassette, subfamily B, multidrug efflux pump
Unknown_BF302-01R0002_00708	K21636	br:ko00001;br:ko01000	NA	cog:COG1328	NA	NA	ec:1.1.98.6	NA	NA	NA	path:ko00230;path:ko00240;path:ko01100;path:ko01232;path:map00230;path:map00240;path:map01100;path:map01232	pmid:12655046;pmid:8421692	rc:RC00613	rn:R11633;rn:R11634;rn:R11635;rn:R11636	NA	NA	nrdD; ribonucleoside-triphosphate reductase (formate)
Unknown_BF302-01R0002_00709	K11928	br:ko00001;br:ko02000	NA	cog:COG0591	NA	NA	NA	NA	NA	NA	NA	pmid:9453610	NA	NA	tc:2.A.21.2	NA	putP; sodium/proline symporter
Unknown_BF302-01R0002_00710	K03734	br:ko00001;br:ko01000	NA	cog:COG1477	NA	NA	ec:2.7.1.180	NA	NA	NA	NA	pmid:23558683	NA	NA	NA	NA	apbE; FAD:protein FMN transferase
Unknown_BF302-01R0002_00713	K02574	br:ko00001	NA	cog:COG0348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	napH; ferredoxin-type protein NapH
Unknown_BF302-01R0002_00716	K03310	br:ko00001	NA	cog:COG1115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tc:2.A.25	NA	TC.AGCS; alanine or glycine:cation symporter, AGCS family
Unknown_BF302-01R0002_00723	K07301	br:ko00001;br:ko02000	NA	cog:COG0530	NA	NA	NA	NA	NA	NA	NA	pmid:22287543	NA	NA	tc:2.A.19.5	NA	yrbG; cation:H+ antiporter
Unknown_BF302-01R0002_00724	K14647	br:ko00001;br:ko01000;br:ko01002;br:ko03110	NA	cog:COG1404	NA	NA	NA	NA	NA	NA	NA	pmid:1938892	NA	NA	NA	NA	vpr; minor extracellular serine protease Vpr
Unknown_BF302-01R0002_00725	K24950	br:ko00001;br:ko02000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yknX, yvrP; membrane fusion protein, antimicrobial resistance system
Unknown_BF302-01R0002_00726	K24949	br:ko00001;br:ko02000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yknY, yvrO; antimicrobial peptide resistance transport system ATP-binding protein
Unknown_BF302-01R0002_00728	K24948	br:ko00001;br:ko02000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yknZ, yvrN; antimicrobial peptide resistance transport system permease protein
Unknown_BF302-01R0002_00729	K00533	br:ko00001;br:ko01000	NA	NA	NA	NA	ec:1.12.7.2	go:0008901	NA	NA	NA	pmid:12605255	NA	rn:R00019	NA	NA	E1.12.7.2L; ferredoxin hydrogenase large subunit
Unknown_BF302-01R0002_00730	K22278	br:ko00001;br:ko01000	NA	cog:COG0726	NA	NA	ec:3.5.1.104	NA	NA	NA	NA	pmid:15961396	NA	NA	NA	NA	pgdA; peptidoglycan-N-acetylglucosamine deacetylase
Unknown_BF302-01R0002_00731	K03704	br:ko00001	NA	cog:COG1278	NA	NA	NA	NA	NA	NA	NA	pmid:1961761	NA	NA	NA	NA	cspA; cold shock protein
Unknown_BF302-01R0002_00733	K01267	br:ko00001;br:ko01000;br:ko01002;br:ko04131	NA	cog:COG1362	NA	NA	ec:3.4.11.21	NA	NA	NA	NA	pmid:16367759;pmid:9632644	NA	NA	NA	NA	DNPEP; aspartyl aminopeptidase
Unknown_BF302-01R0002_00735	K11754	br:ko00001;br:ko01000	NA	cog:COG0285	NA	NA	ec:6.3.2.12;ec:6.3.2.17	go:0004326;go:0008841	md:M00126;md:M00841	NA	path:ko00790;path:ko01100;path:ko01240;path:map00790;path:map01100;path:map01240	pmid:15705579;pmid:7798151	rc:RC00064;rc:RC00090;rc:RC00162	rn:R00942;rn:R02237;rn:R04241	NA	NA	folC; dihydrofolate synthase / folylpolyglutamate synthase
Unknown_BF302-01R0002_00736	K00826	br:ko00001;br:ko01000;br:ko01007	NA	cog:COG0115	ds:H02546	NA	ec:2.6.1.42	go:0004084	md:M00019;md:M00036;md:M00119;md:M00570	NA	path:ko00270;path:ko00280;path:ko00290;path:ko00770;path:ko00966;path:ko01100;path:ko01110;path:ko01210;path:ko01230;path:ko01240;path:map00270;path:map00280;path:map00290;path:map00770;path:map00966;path:map01100;path:map01110;path:map01210;path:map01230;path:map01240	pmid:12670965	rc:RC00006;rc:RC00025;rc:RC00036	rn:R01090;rn:R01214;rn:R02199;rn:R08622;rn:R08626;rn:R10991	NA	NA	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase
Unknown_BF302-01R0002_00737	K01447	br:ko00001;br:ko01000	NA	cog:COG5632	NA	NA	ec:3.5.1.28	go:0008745	NA	NA	NA	pmid:7921239	rc:RC00064;rc:RC00141	rn:R04112	NA	NA	xlyAB; N-acetylmuramoyl-L-alanine amidase
Unknown_BF302-01R0002_00740	K03555	br:ko00001;br:ko03400	NA	cog:COG0249	NA	NA	NA	NA	NA	NA	path:ko03430;path:map03430	pmid:22367846	NA	NA	NA	NA	mutS; DNA mismatch repair protein MutS
Unknown_BF302-01R0002_00741	K10947	br:ko00001;br:ko03000	NA	cog:COG1695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	padR; PadR family transcriptional regulator, regulatory protein PadR
Unknown_BF302-01R0002_00745	K01620	br:ko00001;br:ko01000	NA	cog:COG2008	NA	NA	ec:4.1.2.48	go:0004793;go:0008732	NA	NA	path:ko00260;path:ko01100;path:ko01110;path:ko01120;path:ko01230;path:map00260;path:map01100;path:map01110;path:map01120;path:map01230	pmid:17172352;pmid:9692922	rc:RC00312;rc:RC00372	rn:R00751;rn:R06171	NA	NA	ltaE; threonine aldolase
Unknown_BF302-01R0002_00748	K01129	br:ko00001;br:ko01000	NA	cog:COG0232	NA	NA	ec:3.1.5.1	go:0008832	NA	NA	path:ko00230;path:ko01100;path:ko01232;path:map00230;path:map01100;path:map01232	pmid:2157212	rc:RC00017	rn:R01856	NA	NA	dgt; dGTPase
Unknown_BF302-01R0002_00749	K02316	br:ko00001;br:ko01000;br:ko03032	NA	cog:COG0358	NA	NA	ec:2.7.7.101	go:0003896	NA	NA	path:ko03030;path:map03030	pmid:1511009	NA	NA	NA	NA	dnaG; DNA primase
Unknown_BF302-01R0002_00750	K03086	br:ko00001;br:ko03021	NA	cog:COG0568	NA	NA	NA	go:0016987	NA	NA	path:ko02040;path:map02040	pmid:8289270	NA	NA	NA	NA	rpoD; RNA polymerase primary sigma factor
Unknown_BF302-01R0002_00751	K06967	br:ko00001;br:ko01000;br:ko03016	NA	cog:COG2384	NA	NA	ec:2.1.1.217	go:0016429	NA	NA	NA	pmid:18420655	NA	NA	NA	NA	trmK; tRNA (adenine22-N1)-methyltransferase
Unknown_BF302-01R0002_00752	K00876	br:ko00001;br:ko01000	NA	cog:COG0572	NA	NA	ec:2.7.1.48	go:0004849	NA	NA	path:ko00240;path:ko00983;path:ko01100;path:ko01232;path:map00240;path:map00983;path:map01100;path:map01232	pmid:11306702	rc:RC00002;rc:RC00017	rn:R00513;rn:R00517;rn:R00964;rn:R00968;rn:R08232	NA	NA	udk, UCK; uridine kinase
Unknown_BF302-01R0002_00755	K03686	br:ko00001;br:ko03029;br:ko03110	NA	cog:COG0484	NA	NA	NA	NA	NA	NA	NA	pmid:16952052;pmid:9353316	NA	NA	NA	NA	dnaJ; molecular chaperone DnaJ
Unknown_BF302-01R0002_00757	K00609	br:ko00001;br:ko01000	NA	cog:COG0540	NA	NA	ec:2.1.3.2	go:0004070	md:M00051	NA	path:ko00240;path:ko00250;path:ko01100;path:ko01240;path:map00240;path:map00250;path:map01100;path:map01240	pmid:6302686	rc:RC00064;rc:RC02850	rn:R01397	NA	NA	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit
Unknown_BF302-01R0002_00758	K00610	br:ko00001	NA	cog:COG1781	NA	NA	NA	NA	md:M00051	NA	path:ko00240;path:ko00250;path:ko01100;path:ko01240;path:map00240;path:map00250;path:map01100;path:map01240	pmid:6364131	rc:RC00064;rc:RC02850	rn:R01397	NA	NA	pyrI; aspartate carbamoyltransferase regulatory subunit
Unknown_BF302-01R0002_00759	K04066	br:ko00001;br:ko01000;br:ko03400	NA	cog:COG1198	NA	NA	NA	NA	NA	NA	path:ko03440;path:map03440	pmid:20097140	NA	NA	NA	NA	priA; primosomal protein N' (replication factor Y) (superfamily II helicase)
Unknown_BF302-01R0002_00760	K01462	br:ko00001;br:ko01000	NA	cog:COG0242	NA	NA	ec:3.5.1.88	go:0042586	NA	NA	NA	pmid:11060042	NA	NA	NA	NA	PDF, def; peptide deformylase
Unknown_BF302-01R0002_00761	K00604	br:ko00001;br:ko01000	NA	cog:COG0223	ds:H00473;ds:H00891	NA	ec:2.1.2.9	go:0004479	NA	NA	path:ko00670;path:ko00970;path:ko01100;path:map00670;path:map00970;path:map01100	pmid:12549912;pmid:1624424;pmid:21907147	rc:RC00026;rc:RC00165	rn:R03940	NA	NA	MTFMT, fmt; methionyl-tRNA formyltransferase
Unknown_BF302-01R0002_00762	K06973	br:ko00001	NA	cog:COG2738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K06973; uncharacterized protein
Unknown_BF302-01R0002_00763	K03500	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG0144	NA	NA	ec:2.1.1.176	go:0009383	NA	NA	NA	pmid:10026269;pmid:10194318	NA	NA	NA	NA	rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase
Unknown_BF302-01R0002_00764	K06941	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG0820	NA	NA	ec:2.1.1.192	go:0070040	NA	NA	NA	pmid:18025251	NA	NA	NA	NA	rlmN; 23S rRNA (adenine2503-C2)-methyltransferase
Unknown_BF302-01R0002_00765	K20074	br:ko00001;br:ko01000;br:ko01009	NA	cog:COG0631	NA	NA	ec:3.1.3.16	go:0004722	NA	NA	NA	pmid:10986276;pmid:22431591	NA	NA	NA	NA	prpC, phpP; PPM family protein phosphatase
Unknown_BF302-01R0002_00766	K12132	br:ko00001;br:ko01000;br:ko01001	NA	cog:COG0515;cog:COG2815	NA	NA	ec:2.7.11.1	NA	NA	NA	NA	pmid:11160079;pmid:12406230;pmid:22431591	NA	NA	NA	NA	prkC, stkP; eukaryotic-like serine/threonine-protein kinase
Unknown_BF302-01R0002_00767	K06949	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG1162	NA	NA	ec:3.1.3.100	go:0042131	NA	NA	path:ko00730;path:ko01100;path:map00730;path:map01100	pmid:19575570;pmid:19888457	rc:RC00002;rc:RC00017	rn:R00615;rn:R02135	NA	NA	rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase
Unknown_BF302-01R0002_00768	K01783	br:ko00001;br:ko01000	NA	cog:COG0036	NA	NA	ec:5.1.3.1	go:0004750	md:M00004;md:M00007	NA	path:ko00030;path:ko00040;path:ko00710;path:ko01100;path:ko01110;path:ko01120;path:ko01200;path:ko01230;path:map00030;path:map00040;path:map00710;path:map01100;path:map01110;path:map01120;path:map01200;path:map01230	pmid:9843485	rc:RC00540	rn:R01529	NA	NA	rpe, RPE; ribulose-phosphate 3-epimerase
Unknown_BF302-01R0002_00769	K00949	br:ko00001;br:ko01000	NA	cog:COG1564	ds:H01567	NA	ec:2.7.6.2	go:0004788	md:M00897;md:M00898	NA	path:ko00730;path:ko01100;path:ko01240;path:map00730;path:map01100;path:map01240	pmid:11342111	rc:RC00002;rc:RC00017	rn:R00619	NA	NA	thiN, TPK1, THI80; thiamine pyrophosphokinase
Unknown_BF302-01R0002_00772	K01649	br:br01601;br:ko00001;br:ko01000	NA	cog:COG0119	NA	NA	ec:2.3.3.13	go:0003852	md:M00432	NA	path:ko00290;path:ko00620;path:ko01100;path:ko01110;path:ko01210;path:ko01230;path:map00290;path:map00620;path:map01100;path:map01110;path:map01210;path:map01230	pmid:4976555	rc:RC00004;rc:RC00470;rc:RC02754	rn:R01213	NA	NA	leuA, IMS; 2-isopropylmalate synthase
