QUERY	KO	BRITE	CAZY	COG	DISEASE	DRUG	ENZYME	GO	MODULE	NETWORK	PATHWAY	PUBMED	RCLASS	REACTION	TC	VP	DESCRIPTION
Unknown_BF302-01R0003_00406	K00762	br:ko00001;br:ko01000	NA	cog:COG0461	NA	NA	ec:2.4.2.10	go:0004588	md:M00051	NA	path:ko00240;path:ko01100;path:ko01240;path:map00240;path:map01100;path:map01240	pmid:2182197;pmid:6349999	rc:RC00611	rn:R01870	NA	NA	pyrE; orotate phosphoribosyltransferase
Unknown_BF302-01R0003_00407	K10112	br:ko00001;br:ko02000	NA	cog:COG3839	NA	NA	NA	NA	NA	NA	path:ko02010;path:map02010	pmid:10347054;pmid:11081796;pmid:11421277;pmid:1730061;pmid:17965163;pmid:21118978;pmid:2434655;pmid:6283312;pmid:776623;pmid:9006025;pmid:9335280	NA	NA	tc:3.A.1.1	NA	msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein
Unknown_BF302-01R0003_00408	K02647	br:ko00001;br:ko03000	NA	cog:COG3835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cdaR; carbohydrate diacid regulator
Unknown_BF302-01R0003_00409	K02470	br:ko00001;br:ko01000;br:ko03032;br:ko03400	NA	cog:COG0187	NA	dr:D00183;dr:D00186;dr:D00210;dr:D00310;dr:D00453;dr:D00588;dr:D00589;dr:D00590;dr:D00872;dr:D00873;dr:D00874;dr:D01144;dr:D01147;dr:D01153;dr:D01209;dr:D01431;dr:D01531;dr:D01716;dr:D01996;dr:D02123;dr:D02216;dr:D02301;dr:D02303;dr:D02305;dr:D02306;dr:D02307;dr:D02317;dr:D02318;dr:D02333;dr:D02463;dr:D02469;dr:D02470;dr:D02471;dr:D02473;dr:D02474;dr:D02475;dr:D02539;dr:D02540;dr:D02541;dr:D03599;dr:D03646;dr:D03810;dr:D04485;dr:D05110;dr:D05382;dr:D05461;dr:D05605;dr:D05802;dr:D07562;dr:D07702;dr:D07774;dr:D07828;dr:D08011;dr:D08012;dr:D08120;dr:D08237;dr:D08287;dr:D08291;dr:D08299;dr:D08379;dr:D08496;dr:D08506;dr:D08654;dr:D08872;dr:D09330;dr:D09331;dr:D09544;dr:D09840;dr:D10435;dr:D10544;dr:D10575;dr:D10772;dr:D10822;dr:D11101;dr:D11618;dr:D11726;dr:D11933	ec:5.6.2.2	go:0003918	NA	NA	NA	pmid:17397985;pmid:9148951	NA	NA	NA	NA	gyrB; DNA gyrase subunit B
Unknown_BF302-01R0003_00410	K02469	br:ko00001;br:ko01000;br:ko03032;br:ko03400	NA	cog:COG0188	NA	dr:D00183;dr:D00186;dr:D00210;dr:D00310;dr:D00453;dr:D00588;dr:D00589;dr:D00590;dr:D00872;dr:D00873;dr:D00874;dr:D01144;dr:D01147;dr:D01153;dr:D01209;dr:D01431;dr:D01531;dr:D01716;dr:D01996;dr:D02123;dr:D02216;dr:D02301;dr:D02303;dr:D02305;dr:D02306;dr:D02307;dr:D02317;dr:D02318;dr:D02333;dr:D02463;dr:D02469;dr:D02470;dr:D02471;dr:D02473;dr:D02474;dr:D02475;dr:D02539;dr:D02540;dr:D02541;dr:D03599;dr:D03646;dr:D03810;dr:D04485;dr:D05110;dr:D05382;dr:D05461;dr:D05605;dr:D05802;dr:D07562;dr:D07702;dr:D07774;dr:D07828;dr:D08011;dr:D08012;dr:D08120;dr:D08237;dr:D08287;dr:D08291;dr:D08299;dr:D08379;dr:D08496;dr:D08506;dr:D08654;dr:D08872;dr:D09330;dr:D09331;dr:D09544;dr:D09840;dr:D10435;dr:D10544;dr:D10575;dr:D10772;dr:D10822;dr:D11101;dr:D11618;dr:D11726;dr:D11933	ec:5.6.2.2	go:0003918	NA	NA	NA	pmid:17397985;pmid:8878580	NA	NA	NA	NA	gyrA; DNA gyrase subunit A
Unknown_BF302-01R0003_00411	K04748	br:ko00001	NA	cog:COG0714	NA	NA	NA	NA	NA	NA	NA	NA	rc:RC02794	rn:R00294	tc:3.D.4.10	NA	norQ; nitric oxide reductase NorQ protein
Unknown_BF302-01R0003_00413	K01091	br:ko00001;br:ko01000	NA	cog:COG0546	NA	NA	ec:3.1.3.18	go:0008967	NA	NA	path:ko00630;path:ko01100;path:ko01110;path:map00630;path:map01100;path:map01110	pmid:13129953	rc:RC00017	rn:R01334	NA	NA	gph; phosphoglycolate phosphatase
Unknown_BF302-01R0003_00414	K07052	br:ko00001;br:ko01002	NA	cog:COG1266	NA	NA	NA	NA	NA	NA	NA	pmid:23940253;pmid:24291792	NA	NA	NA	NA	K07052; CAAX protease family protein
Unknown_BF302-01R0003_00415	K00265	br:ko00001;br:ko01000;br:ko01002	NA	cog:COG0067;cog:COG0069;cog:COG0070	NA	NA	ec:1.4.1.13	go:0004355	NA	NA	path:ko00250;path:ko00910;path:ko01100;path:ko01110;path:ko01120;path:ko01230;path:map00250;path:map00910;path:map01100;path:map01110;path:map01120;path:map01230	pmid:10357231;pmid:14624355	rc:RC00006;rc:RC00010;rc:RC02799	rn:R00114;rn:R00248	NA	NA	gltB; glutamate synthase (NADPH) large chain
Unknown_BF302-01R0003_00416	K00266	br:ko00001;br:ko01000	NA	cog:COG0493	NA	NA	ec:1.4.1.13	go:0004355	NA	NA	path:ko00250;path:ko00910;path:ko01100;path:ko01110;path:ko01120;path:ko01230;path:map00250;path:map00910;path:map01100;path:map01110;path:map01120;path:map01230	pmid:10318681;pmid:10357231	rc:RC00006;rc:RC00010;rc:RC02799	rn:R00114;rn:R00248	NA	NA	gltD; glutamate synthase (NADPH) small chain
Unknown_BF302-01R0003_00418	K04078	br:ko00001;br:ko03029;br:ko03110	NA	cog:COG0234	NA	NA	NA	NA	NA	NA	NA	pmid:23048033	NA	NA	NA	NA	groES, HSPE1; chaperonin GroES
Unknown_BF302-01R0003_00419	K04077	br:ko00001;br:ko03019;br:ko03029;br:ko03110;br:ko04147	NA	cog:COG0459	ds:H00266;ds:H00679	NA	NA	NA	NA	NA	path:ko03018;path:ko04212;path:ko04940;path:ko05134;path:ko05152;path:ko05417;path:map03018;path:map04212;path:map04940;path:map05134;path:map05152;path:map05417	pmid:16385159;pmid:24148697;pmid:2568584	NA	NA	NA	NA	groEL, HSPD1; chaperonin GroEL
Unknown_BF302-01R0003_00420	K25232	br:ko00001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	fakB; fatty acid kinase fatty acid binding subunit
Unknown_BF302-01R0003_00421	K01939	br:ko00001;br:ko01000	NA	cog:COG0104	ds:H00594	NA	ec:6.3.4.4	go:0004019	md:M00049	NA	path:ko00230;path:ko00250;path:ko01100;path:ko01232;path:ko01240;path:map00230;path:map00250;path:map01100;path:map01232;path:map01240	pmid:1592113	rc:RC00458;rc:RC00459	rn:R01135	NA	NA	purA, ADSS; adenylosuccinate synthase
Unknown_BF302-01R0003_00422	K25152	br:ko00001;br:ko02000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gldA; gliding motility-associated transport system ATP-binding protein
Unknown_BF302-01R0003_00423	K25153	br:ko00001;br:ko02000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gldG; gliding motility-associatede transport system auxiliary component
Unknown_BF302-01R0003_00425	K12952	br:ko00001	NA	cog:COG0474	NA	NA	NA	go:0019829	NA	NA	NA	NA	NA	NA	tc:3.A.3.23	NA	ctpE; cation-transporting P-type ATPase E
Unknown_BF302-01R0003_00428	K07039	br:ko00001	NA	cog:COG3318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K07039; uncharacterized protein
Unknown_BF302-01R0003_00429	K01868	br:br01613;br:ko00001;br:ko01000;br:ko01007;br:ko03016	NA	cog:COG0441	ds:H00866;ds:H00891	NA	ec:6.1.1.3	go:0004829	NA	NA	path:ko00970;path:map00970	pmid:19379069	rc:RC00055;rc:RC00523	rn:R03663	NA	NA	TARS, thrS; threonyl-tRNA synthetase
Unknown_BF302-01R0003_00431	K13292	br:ko00001;br:ko01000	NA	cog:COG0682	NA	NA	ec:2.5.1.145	go:0008961	NA	NA	NA	pmid:8051048	NA	NA	NA	NA	lgt, umpA; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase
Unknown_BF302-01R0003_00432	K03925	br:ko00001;br:ko03000	NA	cog:COG2001	NA	NA	NA	NA	NA	NA	NA	pmid:24659771	NA	NA	NA	NA	mraZ; transcriptional regulator MraZ
Unknown_BF302-01R0003_00433	K03438	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG0275	NA	NA	ec:2.1.1.199	go:0071424	NA	NA	NA	pmid:19965768	NA	NA	NA	NA	mraW, rsmH; 16S rRNA (cytosine1402-N4)-methyltransferase
Unknown_BF302-01R0003_00435	K08384	br:ko00001;br:ko01011	NA	cog:COG0768	NA	NA	NA	go:0008658	NA	NA	path:ko00550;path:ko01100;path:map00550;path:map01100	pmid:8289242	NA	NA	NA	NA	spoVD; stage V sporulation protein D (sporulation-specific penicillin-binding protein)
Unknown_BF302-01R0003_00436	K08384	br:ko00001;br:ko01011	NA	cog:COG0768	NA	NA	NA	go:0008658	NA	NA	path:ko00550;path:ko01100;path:map00550;path:map01100	pmid:8289242	NA	NA	NA	NA	spoVD; stage V sporulation protein D (sporulation-specific penicillin-binding protein)
Unknown_BF302-01R0003_00437	K01925	br:ko00001;br:ko01000;br:ko01011	NA	cog:COG0771	NA	NA	ec:6.3.2.9	go:0008764	NA	NA	path:ko00470;path:ko00550;path:ko01100;path:map00470;path:map00550;path:map01100	pmid:1765076	rc:RC00064;rc:RC00141	rn:R02783	NA	NA	murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase
Unknown_BF302-01R0003_00438	K03588	br:ko00001;br:ko02000;br:ko03036	NA	cog:COG0772	NA	NA	NA	NA	NA	NA	path:ko04112;path:map04112	pmid:15031731;pmid:20197497;pmid:21386816	NA	NA	tc:2.A.103.1	NA	ftsW, spoVE; cell division protein FtsW
Unknown_BF302-01R0003_00439	K03589	br:ko00001;br:ko03036	NA	cog:COG1589	NA	NA	NA	NA	NA	NA	path:ko04112;path:map04112	pmid:17185541;pmid:20197497;pmid:21672257	NA	NA	NA	NA	ftsQ; cell division protein FtsQ
Unknown_BF302-01R0003_00440	K03531	br:ko00001;br:ko02048;br:ko03036;br:ko04812	NA	cog:COG0206	NA	NA	NA	NA	NA	NA	path:ko04112;path:map04112	pmid:20197497;pmid:9836740	NA	NA	NA	NA	ftsZ; cell division protein FtsZ
Unknown_BF302-01R0003_00441	K06383	br:ko00001;br:ko01000;br:ko01002	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid:21362630	NA	NA	NA	NA	spoIIGA; stage II sporulation protein GA (sporulation sigma-E factor processing peptidase)
Unknown_BF302-01R0003_00442	K03091	br:ko00001;br:ko03021	NA	NA	NA	NA	NA	go:0016987	NA	NA	NA	pmid:18070067	NA	NA	NA	NA	sigH; RNA polymerase sporulation-specific sigma factor
Unknown_BF302-01R0003_00443	K07576	br:ko00001	NA	cog:COG1236	NA	NA	NA	NA	NA	NA	NA	pmid:16945939	NA	NA	NA	NA	K07576; metallo-beta-lactamase family protein
Unknown_BF302-01R0003_00448	K03091	br:ko00001;br:ko03021	NA	NA	NA	NA	NA	go:0016987	NA	NA	NA	pmid:18070067	NA	NA	NA	NA	sigH; RNA polymerase sporulation-specific sigma factor
Unknown_BF302-01R0003_00449	K23675	br:ko00001;br:ko02000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	fmnP, ribU; riboflavin transporter
Unknown_BF302-01R0003_00450	K01887	br:br01613;br:ko00001;br:ko01000;br:ko01007;br:ko03016;br:ko03029	NA	cog:COG0018	ds:H00679;ds:H00897	NA	ec:6.1.1.19	go:0004814	NA	NA	path:ko00970;path:map00970	pmid:18682559	rc:RC00055;rc:RC00523	rn:R03646	NA	NA	RARS, argS; arginyl-tRNA synthetase
Unknown_BF302-01R0003_00451	K06390	br:ko00001	NA	cog:COG3854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	spoIIIAA; stage III sporulation protein AA
Unknown_BF302-01R0003_00453	K06392	br:ko00001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	spoIIIAC; stage III sporulation protein AC
Unknown_BF302-01R0003_00454	K06393	br:ko00001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	spoIIIAD; stage III sporulation protein AD
Unknown_BF302-01R0003_00455	K06394	br:ko00001	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid:18820020	NA	NA	NA	NA	spoIIIAE; stage III sporulation protein AE
Unknown_BF302-01R0003_00457	K06396	br:ko00001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	spoIIIAG; stage III sporulation protein AG
Unknown_BF302-01R0003_00458	K06397	br:ko00001	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid:18812514	NA	NA	tc:1.A.34.1.1	NA	spoIIIAH; stage III sporulation protein AH
Unknown_BF302-01R0003_00459	K02837	br:ko00001;br:ko03012	NA	cog:COG0480	NA	NA	NA	go:0003747	NA	NA	NA	pmid:14651631	NA	NA	NA	NA	prfC; peptide chain release factor 3
Unknown_BF302-01R0003_00460	K03553	br:ko00001;br:ko03400	NA	cog:COG0468	NA	NA	NA	NA	NA	NA	path:ko03440;path:map03440	pmid:12045091;pmid:7758931	NA	NA	NA	NA	recA; recombination protein RecA
Unknown_BF302-01R0003_00461	K03565	br:ko00001;br:ko03400	NA	cog:COG2137	NA	NA	NA	NA	NA	NA	NA	pmid:12427742	NA	NA	NA	NA	recX; regulatory protein
Unknown_BF302-01R0003_00462	K18682	br:ko00001;br:ko01000;br:ko03019	NA	cog:COG1418	NA	NA	NA	NA	NA	NA	path:ko03018;path:map03018	pmid:19193632	NA	NA	NA	NA	rny; ribonucrease Y
Unknown_BF302-01R0003_00464	K01515	br:ko00001;br:ko01000	NA	cog:COG0494	NA	NA	ec:3.6.1.13	go:0047631	NA	NA	path:ko00230;path:ko00740;path:ko01100;path:map00230;path:map00740;path:map01100	pmid:11416161;pmid:29551348	rc:RC00002	rn:R01054;rn:R12896	NA	NA	nudF; ADP-ribose pyrophosphatase
Unknown_BF302-01R0003_00465	K01626	br:ko00001;br:ko01000	NA	cog:COG0722	NA	NA	ec:2.5.1.54	go:0003849	md:M00022	NA	path:ko00400;path:ko01100;path:ko01110;path:ko01230;path:ko02024;path:map00400;path:map01100;path:map01110;path:map01230;path:map02024	pmid:16288916	rc:RC00435	rn:R01826	NA	NA	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase
Unknown_BF302-01R0003_00468	K06182	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG1187	NA	NA	ec:5.4.99.21	go:0009982	NA	NA	NA	pmid:11720289	NA	NA	NA	NA	rluF; 23S rRNA pseudouridine2604 synthase
Unknown_BF302-01R0003_00469	K01972	br:ko00001;br:ko01000;br:ko03032;br:ko03400	NA	cog:COG0272	NA	NA	ec:6.5.1.2	go:0003911	NA	NA	path:ko03030;path:ko03410;path:ko03420;path:ko03430;path:map03030;path:map03410;path:map03420;path:map03430	pmid:11812821;pmid:18265223	rc:RC00005	rn:R00382	NA	NA	E6.5.1.2, ligA, ligB; DNA ligase (NAD+)
Unknown_BF302-01R0003_00470	K00651	br:ko00001;br:ko01000	NA	cog:COG1897	NA	NA	ec:2.3.1.31;ec:2.3.1.46	go:0004414;go:0008899	md:M00017	NA	path:ko00270;path:ko00920;path:ko01100;path:ko01110;path:ko01230;path:map00270;path:map00920;path:map01100;path:map01110;path:map01230	pmid:10572016	rc:RC00004;rc:RC00041	rn:R01776;rn:R01777	NA	NA	metA; homoserine O-succinyltransferase/O-acetyltransferase
Unknown_BF302-01R0003_00471	K00975	br:ko00001;br:ko01000	NA	cog:COG0448	NA	NA	ec:2.7.7.27	go:0008878	md:M00565;md:M00854	NA	path:ko00500;path:ko00520;path:ko01100;path:ko01110;path:ko01250;path:ko02026;path:map00500;path:map00520;path:map01100;path:map01110;path:map01250;path:map02026	pmid:1339262;pmid:3040691	rc:RC00002	rn:R00948	NA	NA	glgC; glucose-1-phosphate adenylyltransferase
Unknown_BF302-01R0003_00472	K00975	br:ko00001;br:ko01000	NA	cog:COG0448	NA	NA	ec:2.7.7.27	go:0008878	md:M00565;md:M00854	NA	path:ko00500;path:ko00520;path:ko01100;path:ko01110;path:ko01250;path:ko02026;path:map00500;path:map00520;path:map01100;path:map01110;path:map01250;path:map02026	pmid:1339262;pmid:3040691	rc:RC00002	rn:R00948	NA	NA	glgC; glucose-1-phosphate adenylyltransferase
Unknown_BF302-01R0003_00474	K03625	br:ko00001;br:ko03009;br:ko03021	NA	cog:COG0781	NA	NA	NA	NA	NA	NA	NA	pmid:14973028;pmid:6330693	NA	NA	NA	NA	nusB; transcription antitermination protein NusB
Unknown_BF302-01R0003_00475	K03601	br:ko00001;br:ko01000;br:ko03400	NA	cog:COG1570	NA	NA	ec:3.1.11.6	go:0008855	NA	NA	path:ko03430;path:map03430	pmid:6284744	NA	NA	NA	NA	xseA; exodeoxyribonuclease VII large subunit
Unknown_BF302-01R0003_00476	K03602	br:ko00001;br:ko01000;br:ko03400	NA	cog:COG1722	NA	NA	ec:3.1.11.6	go:0008855	NA	NA	path:ko03430;path:map03430	pmid:6284744	NA	NA	NA	NA	xseB; exodeoxyribonuclease VII small subunit
Unknown_BF302-01R0003_00477	K13789	br:ko00001;br:ko01000;br:ko01006	NA	cog:COG0142	NA	NA	ec:2.5.1.1;ec:2.5.1.10;ec:2.5.1.29	go:0004161;go:0004311;go:0004337	md:M00364;md:M00366	NA	path:ko00900;path:ko01100;path:ko01110;path:map00900;path:map01100;path:map01110	pmid:10759500;pmid:19633972	rc:RC00279	rn:R01658;rn:R02003;rn:R02061	NA	NA	GGPS; geranylgeranyl diphosphate synthase, type II
Unknown_BF302-01R0003_00478	K01662	br:ko00001;br:ko01000	NA	cog:COG1154	NA	NA	ec:2.2.1.7	go:0008661	md:M00096	NA	path:ko00730;path:ko00900;path:ko01100;path:ko01110;path:map00730;path:map00900;path:map01100;path:map01110	pmid:10982425	rc:RC00032	rn:R05636	NA	NA	dxs; 1-deoxy-D-xylulose-5-phosphate synthase
Unknown_BF302-01R0003_00479	K06442	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG1189	NA	NA	ec:2.1.1.226;ec:2.1.1.227	NA	NA	NA	NA	pmid:16857584;pmid:9611795	NA	NA	NA	NA	tlyA; 23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase
Unknown_BF302-01R0003_00480	K00858	br:ko00001;br:ko01000	NA	cog:COG0061	ds:H00525;ds:H01929	NA	ec:2.7.1.23	go:0003951	NA	NA	path:ko00760;path:ko01100;path:ko01240;path:map00760;path:map01100;path:map01240	pmid:11488932;pmid:11594753;pmid:23212377	rc:RC00002;rc:RC00078	rn:R00104	NA	NA	ppnK, NADK; NAD+ kinase
Unknown_BF302-01R0003_00481	K03402	br:ko00001;br:ko03000	NA	cog:COG1438	NA	NA	NA	NA	NA	NA	NA	pmid:1583685	NA	NA	NA	NA	argR, ahrC; transcriptional regulator of arginine metabolism
Unknown_BF302-01R0003_00482	K03631	br:ko00001;br:ko03400	NA	cog:COG0497	NA	NA	NA	NA	NA	NA	NA	pmid:20360008	NA	NA	NA	NA	recN; DNA repair protein RecN (Recombination protein N)
Unknown_BF302-01R0003_00483	K11105	br:ko00001;br:ko02000	NA	cog:COG3263	NA	NA	NA	go:0015386	NA	NA	NA	pmid:20163190	NA	NA	tc:2.A.36.6	NA	cvrA, nhaP2; potassium/hydrogen antiporter
Unknown_BF302-01R0003_00484	K06399	br:ko00001;br:ko01000;br:ko01002	NA	cog:COG0750	NA	NA	ec:3.4.21.116	NA	NA	NA	NA	pmid:11741860	NA	NA	NA	NA	spoIVB; stage IV sporulation protein B
Unknown_BF302-01R0003_00486	K00297	br:ko00001;br:ko01000	NA	cog:COG0685	NA	NA	ec:1.5.1.54	go:0106312	md:M00377	NA	path:ko00670;path:ko00720;path:ko01100;path:ko01120;path:ko01200;path:map00670;path:map00720;path:map01100;path:map01120;path:map01200	pmid:10593891;pmid:9922232	rc:RC00081	rn:R07168	NA	NA	metF, MTHFR; methylenetetrahydrofolate reductase (NADH)
Unknown_BF302-01R0003_00487	K03308	br:ko00001	NA	cog:COG0733	NA	NA	NA	go:0005328	NA	NA	NA	NA	NA	NA	tc:2.A.22.4;tc:2.A.22.5	NA	TC.NSS; neurotransmitter:Na+ symporter, NSS family
Unknown_BF302-01R0003_00488	K02652	br:ko00001;br:ko02035;br:ko02044	NA	cog:COG2804	NA	NA	NA	NA	NA	NA	NA	pmid:11158445;pmid:20008072	NA	NA	tc:3.A.15.2	NA	pilB; type IV pilus assembly protein PilB
Unknown_BF302-01R0003_00489	K02669	br:ko00001;br:ko02035;br:ko02044	NA	cog:COG2805	NA	NA	NA	NA	NA	NA	NA	pmid:20008072;pmid:20398206	NA	NA	tc:3.A.15.2	NA	pilT; twitching motility protein PilT
Unknown_BF302-01R0003_00490	K02653	br:ko00001;br:ko02035;br:ko02044	NA	cog:COG1459	NA	NA	NA	NA	NA	NA	NA	pmid:26851283	NA	NA	tc:3.A.15.2	NA	pilC; type IV pilus assembly protein PilC
Unknown_BF302-01R0003_00496	K02654	br:ko00001;br:ko01000;br:ko01002;br:ko02035;br:ko02044	NA	cog:COG1989	NA	NA	ec:3.4.23.43	NA	NA	NA	NA	pmid:9515702	NA	NA	tc:1.A.54.5.3;tc:1.A.54.5.4;tc:3.A.15.2	NA	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase
Unknown_BF302-01R0003_00497	K02663	br:ko00001;br:ko02035;br:ko02044	NA	cog:COG3166	NA	NA	NA	NA	NA	NA	NA	pmid:11158445	NA	NA	NA	NA	pilN; type IV pilus assembly protein PilN
Unknown_BF302-01R0003_00504	K18887	br:ko00001;br:ko02000	NA	cog:COG1132	NA	NA	NA	NA	NA	NA	path:ko02010;path:map02010	pmid:14638474	NA	NA	tc:3.A.1.135	NA	efrA, efrE; ATP-binding cassette, subfamily B, multidrug efflux pump
Unknown_BF302-01R0003_00505	K18888	br:ko00001;br:ko02000	NA	cog:COG1132	NA	NA	NA	NA	NA	NA	path:ko02010;path:map02010	pmid:14638474	NA	NA	tc:3.A.1.135	NA	efrB, efrF; ATP-binding cassette, subfamily B, multidrug efflux pump
Unknown_BF302-01R0003_00506	K07699	br:ko00001;br:ko02022	NA	cog:COG0784	NA	NA	NA	go:0000156	NA	NA	path:ko02020;path:ko02024;path:map02020;path:map02024	pmid:11069677;pmid:18410285	NA	NA	NA	NA	spo0A; two-component system, response regulator, stage 0 sporulation protein A
Unknown_BF302-01R0003_00507	K00703	br:ko00001;br:ko01000;br:ko01003	cazy:GT5	cog:COG0297	NA	NA	ec:2.4.1.21	go:0009011	md:M00565;md:M00854	NA	path:ko00500;path:ko01100;path:ko01110;path:ko02026;path:map00500;path:map01100;path:map01110;path:map02026	pmid:1339262	rc:RC00005	rn:R02421	NA	NA	glgA; starch synthase
Unknown_BF302-01R0003_00509	K11070	br:ko00001;br:ko02000	NA	cog:COG1177	NA	NA	NA	NA	NA	NA	path:ko02010;path:map02010	pmid:1939142	NA	NA	tc:3.A.1.11	NA	potC; spermidine/putrescine transport system permease protein
Unknown_BF302-01R0003_00510	K11071	br:ko00001;br:ko02000	NA	cog:COG1176	NA	NA	NA	NA	NA	NA	path:ko02010;path:map02010	pmid:1939142	NA	NA	tc:3.A.1.11	NA	potB; spermidine/putrescine transport system permease protein
Unknown_BF302-01R0003_00511	K11072	br:ko00001;br:ko01000;br:ko02000	NA	cog:COG3842	NA	NA	ec:7.6.2.11	go:0015417	NA	NA	path:ko02010;path:map02010	pmid:1939142	NA	NA	tc:3.A.1.11	NA	potA; spermidine/putrescine transport system ATP-binding protein
Unknown_BF302-01R0003_00520	K09765	br:ko00001;br:ko01000;br:ko03016	NA	cog:COG1636	NA	NA	ec:1.17.99.6	go:0052693	NA	NA	NA	pmid:28128549	NA	rn:R12500	NA	NA	queH; epoxyqueuosine reductase
Unknown_BF302-01R0003_00521	K01755	br:ko00001;br:ko01000;br:ko04147	NA	cog:COG0165	ds:H01028;ds:H01398	NA	ec:4.3.2.1	go:0004056	md:M00029;md:M00844;md:M00845	NA	path:ko00220;path:ko00250;path:ko01100;path:ko01110;path:ko01230;path:map00220;path:map00250;path:map01100;path:map01110;path:map01230	pmid:10071206;pmid:7944404	rc:RC00445;rc:RC00447	rn:R01086	NA	NA	argH, ASL; argininosuccinate lyase
Unknown_BF302-01R0003_00522	K00133	br:ko00001;br:ko01000	NA	cog:COG0136	NA	NA	ec:1.2.1.11	go:0004073	md:M00016;md:M00017;md:M00018;md:M00033;md:M00525;md:M00526;md:M00527	NA	path:ko00260;path:ko00261;path:ko00270;path:ko00300;path:ko01100;path:ko01110;path:ko01120;path:ko01210;path:ko01230;path:map00260;path:map00261;path:map00270;path:map00300;path:map01100;path:map01110;path:map01120;path:map01210;path:map01230	pmid:15752328	rc:RC00684	rn:R02291	NA	NA	asd; aspartate-semialdehyde dehydrogenase
Unknown_BF302-01R0003_00524	K06921	br:ko00001	NA	cog:COG1672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K06921; uncharacterized protein
Unknown_BF302-01R0003_00525	K03169	br:ko00001;br:ko01000;br:ko03032	NA	cog:COG0550	NA	NA	ec:5.6.2.1	go:0003917	NA	NA	NA	pmid:6326814	NA	NA	NA	NA	topB; DNA topoisomerase III
Unknown_BF302-01R0003_00526	K23144	br:ko00001;br:ko01000	NA	NA	NA	NA	ec:2.3.1.157;ec:2.3.1.276;ec:2.7.7.23;ec:2.7.7.24;ec:2.7.7.83	NA	NA	NA	path:ko00520;path:ko00521;path:ko00523;path:ko00525;path:ko01100;path:ko01110;path:ko01250;path:map00520;path:map00521;path:map00523;path:map00525;path:map01100;path:map01110;path:map01250	NA	rc:RC00002;rc:RC00166	rn:R02328;rn:R12242	NA	NA	K23144; UDP-N-acetylglucosamine diphosphorylase / glucose-1-phosphate thymidylyltransferase / UDP-N-acetylgalactosamine diphosphorylase / glucosamine-1-phosphate N-acetyltransferase / galactosamine-1-phosphate N-acetyltransferase
Unknown_BF302-01R0003_00531	K07658	br:ko00001;br:ko02022	NA	cog:COG0745	NA	NA	NA	go:0000156	NA	NA	path:ko02020;path:map02020	pmid:16030210;pmid:20487291	NA	NA	NA	NA	phoB1, phoP; two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP
Unknown_BF302-01R0003_00534	K01190	br:ko00001;br:ko01000	cazy:GH2	cog:COG3250	NA	NA	ec:3.2.1.23	go:0004565	NA	NA	path:ko00052;path:ko00511;path:ko00600;path:ko01100;path:map00052;path:map00511;path:map00600;path:map01100	NA	rc:RC00049;rc:RC00452	rn:R01105;rn:R01678;rn:R03355;rn:R04783;rn:R06114	NA	NA	lacZ; beta-galactosidase
Unknown_BF302-01R0003_00535	K01190	br:ko00001;br:ko01000	cazy:GH2	cog:COG3250	NA	NA	ec:3.2.1.23	go:0004565	NA	NA	path:ko00052;path:ko00511;path:ko00600;path:ko01100;path:map00052;path:map00511;path:map00600;path:map01100	NA	rc:RC00049;rc:RC00452	rn:R01105;rn:R01678;rn:R03355;rn:R04783;rn:R06114	NA	NA	lacZ; beta-galactosidase
Unknown_BF302-01R0003_00536	K02099	br:ko00001;br:ko03000	NA	cog:COG2207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	araC; AraC family transcriptional regulator, arabinose operon regulatory protein
